Data;Preco
31/05/2019;R$ 4.29
01/06/2019;R$ 4.27
02/06/2019;R$ 4.22
03/06/2019;R$ 4.32
04/06/2019;R$ 4.27
05/06/2019;R$ 4.27
06/06/2019;R$ 4.25
07/06/2019;R$ 4.21
08/06/2019;R$ 4.22
09/06/2019;R$ 4.16
10/06/2019;R$ 4.24
11/06/2019;R$ 4.27
12/06/2019;R$ 4.23
13/06/2019;R$ 4.20
14/06/2019;R$ 4.16
15/06/2019;R$ 4.12
16/06/2019;R$ 4.16
17/06/2019;R$ 4.21
18/06/2019;R$ 4.20
19/06/2019;R$ 4.20
20/06/2019;R$ 4.20
;
